id,member,Ticker,Type,Bought,BuyPrice,Amount,FilePrice,Spot7,Spot30,Spot90,Spot180,MonitorPrice
20001934,Lou Barletta,DDD,S,10/22/2014,36.66999816894531,15000,36.66999816894531,37.099998474121094,35.150001525878906,29.31999969482422,32.5,
20000404,John A. Boehner,CAH,s,02/27/2014,53.021888732910156,15000,53.021888732910156,53.56074905395508,51.66126251220703,51.4907341003418,54.63064193725586,
20000404,John A. Boehner,slB,P,02/26/2014,69.10983276367188,50000,69.10983276367188,68.85537719726562,73.0162124633789,76.45112609863281,82.80113220214844,
20000404,John A. Boehner,WMT,s,02/25/2014,19.52754020690918,50000,19.52754020690918,20.00142478942871,20.401081085205078,,20.551355361938477,
20001087,John A. Boehner,KN,S,05/20/2014,29.540000915527344,15000,29.540000915527344,28.15999984741211,31.93000030517578,31.959999084472656,19.850000381469727,
20001087,John A. Boehner,QCOM,P,05/22/2014,58.521610260009766,50000,58.521610260009766,58.98500061035156,59.050540924072266,56.52171325683594,53.54062271118164,
20001259,John A. Boehner,COV,S,06/24/2014,0.032999999821186066,50000,0.032999999821186066,0.032999999821186066,0.032999999821186066,0.03400000184774399,0.03400000184774399,
20000708,Michael C. Burgess,gE,s,03/10/2014,104.6181869506836,15000,104.6181869506836,102.1674575805664,104.25659942626953,109.19828033447266,105.72419738769531,
20000708,Michael C. Burgess,MsFT,s,03/10/2014,31.847240447998047,15000,31.847240447998047,32.04090118408203,34.0787353515625,35.17564010620117,39.17551040649414,
20000708,Michael C. Burgess,MsFT,s,03/10/2014,31.847240447998047,15000,31.847240447998047,32.04090118408203,34.0787353515625,35.17564010620117,39.17551040649414,
20000708,Michael C. Burgess,PFE,s,03/10/2014,20.181793212890625,15000,20.181793212890625,19.577396392822266,19.45900535583496,18.494611740112305,18.803647994995117,
20000708,Michael C. Burgess,uPs,s,03/10/2014,69.74491119384766,15000,69.74491119384766,68.50877380371094,69.11624908447266,73.65431213378906,70.78205108642578,
20000708,Michael C. Burgess,VZ,s,03/10/2014,27.523956298828125,15000,27.523956298828125,27.102588653564453,28.392656326293945,29.24478530883789,29.8707275390625,
20000165,Eric Cantor,MsB,P,01/16/2014,9.085000991821289,50000,9.70900821685791,9.516057968139648,9.233814239501953,8.475220680236816,8.049560546875,
20000165,Eric Cantor,MRH,s,01/16/2014,,15000,,,,,,
20000165,Eric Cantor,slB,s,01/16/2014,66.01717376708984,50000,67.95423126220703,67.24644470214844,67.6879653930664,75.53814697265625,85.98635864257812,
20000165,Eric Cantor,sTI,s,01/16/2014,,15000,,,,,,
20000165,Eric Cantor,DIs,s,01/16/2014,67.46326446533203,50000,68.46324157714844,67.99052429199219,72.02684783935547,71.7723159790039,78.31773376464844,
20000165,Eric Cantor,WY,s,01/16/2014,20.308191299438477,15000,20.269100189208984,19.91075897216797,19.839086532592773,18.31234359741211,21.34895896911621,
